Publication_Type,Title,Authors_Standardized,Publication_Year,Journal_Venue,Publisher,Usage_Type,Usage_Justification,Usage_Description,Research_Domain,Geographic_Focus,Data_Years_Used,Key_Findings,Policy_Implications,DOI_URL,Notes
GOVERNMENT,Prices Paid to Hospitals by Private Health Plans â€“ Findings from RAND 5.1,Becker C.; [+ others],2025,House Health Care Comm. Hearing Slides,Vermont General Assembly,RESEARCH_ENABLER,"AHRQ is used to link hospitals to systems, which defines the groups for comparison. The actual data being compared is RAND price data. AHRQ provides the structure for the analysis of other data.",Used Compendium to link VT hospitals to systems; compared RAND price data across system vs independent hospitals,Market Power & Pricing,Vermont (state),2018-2022,System-affiliated hospitals charged higher mean %-of-Medicare,Informed VT H-266; supports expanded Green Mountain Care Board merger oversight,https://vtleg.bluehousegroup.com/committee/document/2026/15/Date/5-13-2025,ok
GOVERNMENT,Health Care Affordability Board Meeting Presentation,"[Vishaal Pegany, Deputy Director; CJ Howard, Assistant Deputy Director; Andrew Feher, Research and Analysis Group Manager; David Seltz, Executive Director, Massachusetts Health Policy Commission; Sarah Bartelmann, Cost Growth Target & Health Care Market Oversight Program Manager, Oregon Health Authority; Michael Valle, Deputy Director and Chief Information Officer; Dionne Evans-Dean, Chief Data Officer; Chris Krawczyk, Chief Analytics Officer; Margareta Brandt, Assistant Deputy Director]",2025, Conference Presentation,"Office of Health Care Affordability, Department of Health Care Access and Information",RESEARCH_ENABLER,AHRQ's definition is used to provide a conceptual/definitional framework for OHCA's consideration.,"Used AHRQ Compendium definition of a health system as one possible definition for OHCA to consider, noting it excludes some types of systems like hospital-only systems. ",Methodology & Data Quality,California,2023,"The AHRQ Compendium provides a definition of health systems based on common ownership or joint management of at least one hospital and a group of physicians providing comprehensive care, with specific thresholds for the number of physicians and primary care physicians. "," The AHRQ definition is one of several being considered by OHCA for defining health systems, which will impact how performance is assessed and enforcement is applied",https://hcai.ca.gov/wp-content/uploads/2025/03/March-2025-Board-Meeting-Presentation.pdf,
GOVERNMENT, Report to the Congress: Medicare Payment Policy,[Medicare Payment Advisory Commission],2025,Medicare Payment Advisory Commission,Medicare Payment Advisory Commission,CONTEXTUAL_REFERENCE,A specific statistic from AHRQ is cited to provide context.,"Used AHRQ compendium to note that by 2021, 52 percent of all physicians were affiliated with a health system. ",Consolidation & Mergers,USA,2021,"The share of hospital markets that were ""super"" concentrated rose from 47 percent in 2003 to 57 percent in 2017, and by 2021, 52 percent of all physicians were affiliated with a health system. ","a potential policy implication is the need for increased regulatory scrutiny and data collection concerning provider consolidation to understand its effects on Medicare payment adequacy, market competition, and healthcare costs",https://www.medpac.gov/wp-content/uploads/2025/03/Mar25_MedPAC_Report_To_Congress_SEC.pdf,
POLICY,Ten Things to Know About Consolidation in Health Care Provider Markets,"Zachary Levinson, Jamie Godwin, Scott Hulver, and Tricia Neuman",2024,KFF Issue Brief,Kaiser Family Foundation,PRIMARY_ANALYSIS,"AHRQ data (bed counts, states of operation) is directly extracted and reported as a key part of the analysis, leading to findings about the top 10 systems."," Used the 2022 AHRQ Compendium of US Health Systems to provide data on bed counts and states of operation for the ten largest health systems, which was incorporated into an analysis of market concentration.",Consolidation & Mergers,USA,2022,"The ten largest health systems accounted for about 22% of nonfederal general acute care hospital beds in 2022, with system names, bed counts, operating revenues, ownership, and states of operation detailed in a table.","The significant market share of large health systems, highlighted by data from sources like the AHRQ Compendium, underscores the importance of monitoring consolidation trends and their potential impact on competition, pricing, and access to care.",https://www.kff.org/health-costs/issue-brief/ten-things-to-know-about-consolidation-in-health-care-provider-markets/,
POLICY,One or Two Health Systems Controlled the Entire Market for Inpatient Hospital Care in Nearly Half of Metropolitan Areas in 2022,"Jamie Godwin, Zachary Levinson, and Tricia Neuman",2024,KFF Data Spotlight,Kaiser Family Foundation,PRIMARY_ANALYSIS,AHRQ is used to group hospitals (defining analytical units based on AHRQ's system definitions). This grouping directly enables the HHI calculation and market share analysis reported as a key finding (47% of MSAs).,Used the 2022 AHRQ Compendium of US Health Systems to group hospitals into health systems for an analysis of market shares and Herfindahl-Hirschman Index (HHI) in Metropolitan Statistical Areas.,Consolidation & Mergers,USA,2022,"In 2022, hospitals were grouped into health systems based on the AHRQ Compendium to find that nearly half (47%) of metropolitan statistical areas (MSAs) were controlled by one or two health systems for inpatient hospital care.","The high market concentration in metropolitan hospital markets, identified using data sources like the AHRQ Compendium for system definition, suggests a need for continued antitrust scrutiny and policies to address potential negative impacts on costs and patient choice.",https://www.kff.org/health-costs/issue-brief/one-or-two-health-systems-controlled-the-entire-market-for-inpatient-hospital-care-in-nearly-half-of-metropolitan-areas-in-2022/,
POLICY,"Why Market Power Matters for Patients, Insurers, and Hospitals","Atul Grover, MD, PhD, Executive Director, AAMC Research and Action Institute; Kendal Orgera, MPH, MPP, Lead Research Analyst, AAMC Research and Action Institute; Laura Pincus, MHA, Manager, Strategy and Planning, AAMC Research and Action Institute; Siena Senn, MPH, former Analyst, AAMC Research and Action Institute; and Gabrielle Redford, Editorial Director, AAMC",2024,AAMC Research & Action Institute Data Snapshot,Association of American Medical Colleges,PRIMARY_ANALYSIS,"AHRQ defines systems and attributes discharges. The analysis then compares market shares based on these AHRQ-derived structures, and findings (e.g., 43.1% market share for health systems) are reported."," Used the 2021 AHRQ Compendium of U.S. Health Systems Hospital Linkage File to define health systems and attribute hospital discharges to these systems, enabling a state-by-state market share analysis comparing health system concentration with insurer concentration.",Market Power & Pricing,USA,2021,"Utilizing the AHRQ Compendium to define health systems for its state-level market share calculations, the analysis revealed that while the largest health systems average 43.1% of inpatient market share per state, the top three insurers average a significantly higher 82.2% market share, highlighting greater concentration and market power on the insurer side.","The findings, which rely on AHRQ Compendium data for health system definition to compare market structures, strongly suggest that policymakers should broaden their scrutiny beyond just provider consolidation to also rigorously assess and address the substantial market power held by insurers and its potential adverse effects on patients, reimbursements, and overall health care affordability.",https://doi.org/10.15766/rai_j6m9ze78,
POLICY,Prices Paid to Hospitals by Private Health Plans: Findings from Round 4 of an Employer-Led Transparency Initiative,Whaley C.; [+ others],2022,RAND Corporation Research Report,RAND Corporation,RESEARCH_ENABLER,"AHRQ data is used for a ""crucial step"" (linking hospitals to systems) that enables the primary analysis of price data (which likely comes from other sources). AHRQ is providing the research framework/structure.","Used the 2019 AHRQ Compendium of U.S. Health Systems to link specific hospitals to their broader health systems, which was a crucial step for enabling the report's analysis of prices paid to hospital systems by name. ",Market Power & Pricing,USA,2019,"he study, which relied on the AHRQ Compendium to identify and group hospitals under joint ownership (hospital systems), documented wide variation in prices paid by private health plans to these systems relative to Medicare, and found that a portion of this price variation is explained by hospital market power. ","The report suggests that enhanced price transparency, made possible by data sources like the AHRQ Compendium for system identification, can empower employers to negotiate more effectively and can inform policy discussions on interventions to address noncompetitive health care markets and limit unwarranted price disparities.",http://www.rand.org/t/RRA1144-1,
POLICY,Prices Paid to Hospitals by Private Health Plans: Findings from Round 5.1 of an Employer-Led Transparency Initiative ,Whaley C.; [+ others],2024,RAND Corporation Research Report,RAND Corporation,RESEARCH_ENABLER,"Similar to #7. AHRQ data provides a ""foundational step"" (linking) that enables the price analysis"," Used the AHRQ Compendium of U.S. Health Systems (reflecting 2022 data, as per AHRQ 2024 reference) to link hospitals to their respective hospital systems, a foundational step for analyzing and reporting prices at the system level by name. ",Market Power & Pricing,USA,2022,"This updated study, using the AHRQ Compendium (2022 data) to define hospital systems, found that in 2022, private insurers paid hospitals on average 254% of Medicare rates, with substantial price variation across states and systems, and reaffirmed that hospital market share explains a portion of this variation.","The research, which leverages AHRQ Compendium data for system identification, underscores that providing employers with transparent, system-specific price information can facilitate better negotiations and supports policy considerations for addressing market concentration and its influence on healthcare affordability. ",www.rand.org/t/RRA1144-2-v2 ,
OTHER,Organization and Performance of U.S. Health Systems,Beaulieu N.; [+ others],2023,JAMA,Harvard Medical School,CONTEXTUAL_REFERENCE,AHRQ is used as a benchmark for comparison to validate the authors' own database.,"Authors developed their own extensive database to identify and describe health systems in 2018, using twenty-five different data sources. Within the limitations section of their paper, they reference the ""Agency for Healthcare Research and Qualityâ€™s Compendium of US Health Systems."" This mention serves as a benchmark: they note that their independent identification of 580 health systems is comparable to the AHRQ Compendium, which ""lists a similar number of health systems (n=637) with a high degree of overlap (80%) among the largest ones"". This comparison is used to lend credibility and external validity to their own health system identification methodology and resulting dataset.",Methodology & Data Quality,USA,2018,"The study's independently constructed database of 580 U.S. health systems for the year 2018 demonstrates substantial concordance with the AHRQ Compendium of U.S. Health Systems (which identified 637 systems), particularly with an 80% overlap among the largest systems, thereby reinforcing the reliability of both resources in capturing the health system landscape.","The observed consistency between robust, independent efforts to define and enumerate health systems, including the AHRQ Compendium, strengthens the foundation upon which policymakers and researchers can reliably study these complex entities and their evolving impact on healthcare cost, quality, and access.",https://jamanetwork.com/journals/jama/fullarticle/2800656,
ACADEMIC,Consolidation And Mergers Among Health Systems In 2021: New Data From The AHRQ Compendium,Contreary K.; [+ others],2023,Health Affairs Forefront,Health Affairs Forefront,PRIMARY_ANALYSIS,"The title and description clearly indicate that AHRQ data is directly analyzed to characterize changes and trends, with findings like ""76% of U.S. non-federal general acute care hospitals were affiliated... up from 72%..."""," Used 2018 and 2021 AHRQ Compendium data to analyze system characteristics (size, scope, ownership) and link systems to affiliated hospitals and physicians for characterizing changes in system landscape, consolidation trends, and physician affiliation between 2018 and 2021.",Consolidation & Mergers,USA,2018-2021," 76% of U.S. non-federal general acute care hospitals were affiliated with a health system in 2021, up from 72% in 2018.","Increased consolidation, with 76% of hospitals affiliated with systems in 2021, provides crucial data for policymakers to investigate influencing factors and consequences of these trends across provider types and markets",https://www.healthaffairs.org/content/forefront/consolidation-and-mergers-among-health-systems-2021-new-data-ahrq-compendium,
POLICY,Monetizing Medicine: Private Equity and Competition in Physician Practice Markets,Scheffler R.; [+ others],2023,"American Antitrust Institute, The Nicholas C. Petris Center (University of California, Berkeley), Washington Center for Equitable Growth","University of California, Berkeley",CONTEXTUAL_REFERENCE,AHRQ-derived findings (via an intermediary article) are used to provide context/evidence for a trend.,"The report indirectly references the AHRQ Compendium by citing a 2023 Health Affairs Forefront article authored by Kara Contreary et al., titled ""Consolidation and Mergers among Health Systems in 2021: New Data from the AHRQ Compendium."" This citation appears in a footnote supporting the introductory statement that physicians are increasingly transitioning from small, physician-owned practices to larger practices owned by corporate entities, including health systems. The AHRQ Compendium is thus presented as the underlying data source for the Contreary et al. analysis, which in turn provides evidence for the broader trend of consolidation discussed in the report on private equity.",Consolidation & Mergers,USA,2021,"This report uses research findings derived from the 2021 AHRQ Compendium (via Contreary et al., 2023) to establish the context of increasing health system consolidation, which is a backdrop to its primary analysis of private equity's role in physician practice markets.","Data from the AHRQ Compendium on health system consolidation, as analyzed and disseminated by researchers like Contreary et al., informs the understanding of market dynamics relevant to policymakers concerned with private equity activity, competition, and antitrust enforcement in the healthcare sector.",https://www.antitrustinstitute.org/wp-content/uploads/2023/07/AAI-UCB-EG_Private-Equity-I-Physician-Practice-Report_FINAL.pdf,
GOVERNMENT,HHS Consolidation in Health Care Markets RFI Response Report,[U.S. Department of Health and Human Services (OS)],2024,U.S. Department of Health and Human Services,U.S. Department of Health and Human Services,CONTEXTUAL_REFERENCE,Similar to #11. AHRQ-derived findings (via an intermediary) are used as evidence/context,"The HHS report, in its reference list, includes a citation  to the 2023 Health Affairs Forefront article by Contreary K. et al., ""Consolidation And Mergers Among Health Systems In 2021: New Data From The AHRQ Compendium."" This citation supports the report's background discussion on the increasing consolidation of health care markets, specifically the trend of providers consolidating into health systems. The AHRQ Compendium is thereby indirectly cited as the data source for the findings presented by Contreary et al. (2023) concerning health system consolidation in 2021, which the HHS report uses as evidence.",Consolidation & Mergers,USA,2021,"The HHS report incorporates evidence on increasing health system consolidation from research (Contreary et al., 2023) that utilized the 2021 AHRQ Compendium data, underscoring the Compendium's role in informing federal understanding of market trends.","Information originating from the AHRQ Compendium, through cited academic research, forms part of the evidence base for HHS reports that address market consolidation, thereby potentially influencing policy discussions and regulatory perspectives on competition in the U.S. healthcare system.",https://www.hhs.gov/sites/default/files/hhs-consolidation-health-care-markets-rfi-response-report.pdf,
