eid,error,message
2-s2.0-85113352286,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85203420319,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85211931135,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85130609614,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85128121072,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85133526512,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85175220851,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85130642366,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85110518200,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85133274201,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85110687679,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85139571680,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85143180974,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85160230430,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85146192973,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85159783694,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85120075083,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85150390319,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85166415907,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85166783883,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85122831730,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85105767840,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85099565948,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85115926183,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85205298178,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85101483257,Exception,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
2-s2.0-85099417722,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85099409024,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-105004352464,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85198292021,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
2-s2.0-85204191424,HTTP 401,"{""service-error"":{""status"":{""statusCode"":""AUTHORIZATION_ERROR"",""statusText"":""The requestor is not authorized to access the requested view or fields of the resource""}}}"
