eid,doi,title,year,journal,author_count,citation_count,has_ahrq_mention,has_ahrq_funding,keywords_count,open_access,original_confidence
2-s2.0-85113352286,10.2196/30453,Digital orientation of health systems in the post-COVID-19 “New Normal” in the United States: Cross-sectional survey,2021,Journal of Medical Internet Research,1,8,False,False,0,True,95
2-s2.0-85203420319,10.1097/JHM-D-23-00266,Associations between Integration and Patient Experience in Hospital-Based Health Systems: An Exploration of Horizontal and Vertical Forms of Integration,2024,Journal of Healthcare Management,1,1,False,False,0,False,95
2-s2.0-85211931135,10.1177/11786329241304619,Does Physician-Hospital Vertical Integration Affect Hospital Output?,2024,Health Services Insights,1,0,False,False,0,True,95
2-s2.0-85130609614,10.2196/34808,Valuing Diversity and Inclusion in Health Care to Equip the Workforce: Survey Study and Pathway Analysis,2022,Jmir Formative Research,1,18,False,False,0,True,95
2-s2.0-85128121072,10.2196/32477,Competition and Integration of US Health Systems in the Post-COVID-19 New Normal: Cross-sectional Survey,2022,Jmir Formative Research,1,3,False,False,0,True,95
2-s2.0-85133526512,10.2196/35317,Integration vs Collaborative Redesign Strategies of Health Systems’ Supply Chains in the Post-COVID-19 New Normal: Cross-sectional Survey across the United States,2022,Jmir Formative Research,1,6,False,False,0,True,95
2-s2.0-85175220851,10.1136/bmj-2023-074908,Racial differences in low value care among older adult Medicare patients in US health systems: Retrospective cohort study,2023,BMJ,1,10,False,False,0,True,90
2-s2.0-85130642366,10.1161/CIRCOUTCOMES.121.008269,Influence of Hospital Characteristics on Hospital Transfer Destinations for Patients with Stroke,2022,Circulation Cardiovascular Quality and Outcomes,1,10,False,False,0,True,90
2-s2.0-85110518200,10.1007/s11701-021-01280-x,Surgeon satisfaction and outcomes of tele-proctoring for robotic gynecologic surgery,2022,Journal of Robotic Surgery,1,17,False,False,0,True,90
2-s2.0-85133274201,10.1377/hlthaff.2022.00045,Hospital And Regional Characteristics Associated With Emergency Department Facility Fee Cash Pricing,2022,Health Affairs,1,17,False,False,0,False,90
2-s2.0-85110687679,10.1007/s11606-021-07005-y,The Association of Readmission Reduction Activities with Primary Care Practice Readmission Rates,2022,Journal of General Internal Medicine,1,2,False,False,0,False,90
2-s2.0-85139571680,10.1097/SLA.0000000000005490,Do we need to augment surgical judgment in emergency surgery?,2022,Annals of Surgery,1,1,False,False,0,True,90
2-s2.0-85143180974,10.1093/cid/ciac515,Harnessing the Power of Health Systems and Networks for Antimicrobial Stewardship,2022,Clinical Infectious Diseases,1,12,False,False,0,True,90
2-s2.0-85160230430,10.1097/SLA.0000000000005802,Safety and Distribution of Opioid Prescribing by U.S. Surgeons,2023,Annals of Surgery,1,10,False,False,0,False,90
2-s2.0-85146192973,10.1089/lgbt.2021.0391,Gender-Affirming Primary Care Access Among Rural Transgender and Gender Diverse Adults in Five Northeastern U.S. States,2023,Lgbt Health,1,7,False,False,0,False,90
2-s2.0-85159783694,10.1093/ntr/ntad008,"Implementation, Maintenance, and Outcomes of an Electronic Referral to a Tobacco Quitline Across Five Health Systems",2023,Nicotine and Tobacco Research,1,3,False,False,0,True,90
2-s2.0-85120075083,10.1001/jamanetworkopen.2021.36358,Representation of Women in the Leadership Structure of the US Health Care System,2021,JAMA Network Open,1,12,False,False,0,True,90
2-s2.0-85150390319,10.1016/j.echo.2023.01.002,Variation in Cost of Echocardiography Within and Across United States Hospitals,2023,Journal of the American Society of Echocardiography,1,10,False,False,0,True,90
2-s2.0-85166415907,10.1002/trc2.12408,"Dementia care navigation: Building toward a common definition, key principles, and outcomes",2023,Alzheimer S and Dementia Translational Research and Clinical Interventions,1,19,False,False,0,True,90
2-s2.0-85166783883,10.1377/hlthaff.2022.01319,Who’s accountable? Low-value care received by medicare beneficiaries outside of their attributed health systems,2023,Health Affairs,1,3,False,False,0,False,90
2-s2.0-85122831730,10.1097/MLR.0000000000001673,Survey of Information Exchange and Advanced Use of Other Health Information Technology in Primary Care Settings Capabilities In and Outside of the Safety Net,2022,Medical Care,1,10,False,False,0,False,90
2-s2.0-85105767840,10.1200/OP.20.01089,Fragmentation of Care Among Black Women With Breast Cancer and Comorbidities: The Role of Health Systems,2021,JCO Oncology Practice,1,20,False,False,0,False,90
