Found_By_Query,eid,title,authors,year,journal,doi,citations,scopus_available,retrieval_method,status_code,full_text_size,error_message,checked_timestamp
2_Direct_Reference,2-s2.0-105007322937,Outcomes for Very Preterm Infants Across Health Systems,Rogowski J.A.,2025,JAMA Network Open,10.1001/jamanetworkopen.2025.13274,0,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:14:40.380582
2_Direct_Reference,2-s2.0-105006819186,"State Health Care Cost Commissions: Their Priorities and How States’ Political Leanings, Commercial Hospital Prices, and Medicaid Spending Predict Their Establishment",Fulton B.D.,2025,Milbank Quarterly,10.1111/1468-0009.70019,0,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:14:42.151779
2_Direct_Reference,2-s2.0-105003919850,Private Equity Investment in Plastic Surgery Clinics: A Scoping Review,Roth J.M.,2025,Plastic and Reconstructive Surgery,10.1097/PRS.0000000000012164,0,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:14:43.815733
2_Direct_Reference,2-s2.0-85195534060,Using 42 CFR part 2 revisions to integrate substance use disorder treatment information into electronic health records at a safety net health system,Tillman A.R.,2024,Addiction Science and Clinical Practice,10.1186/s13722-024-00477-3,2,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:14:45.514931
2_Direct_Reference,2-s2.0-85187786751,Private Payers and Cancer Care: Revisiting the Land of Opportunity,Kolodziej M.A.,2024,JCO Oncology Practice,10.1200/OP.23.00632,1,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:14:47.195793
2_Direct_Reference,2-s2.0-85165519517,Relationship Between In-Hospital Adverse Events and Hospital Performance on 30-Day All-cause Mortality and Readmission for Patients With Heart Failure,Wang Y.,2023,Circulation Cardiovascular Quality and Outcomes,10.1161/CIRCOUTCOMES.122.009573,1,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:14:48.927045
3_Citation_Chain (Batch 1),2-s2.0-86000539142,Ethics of point-of-service collections in dermatology,Dhamsania I.R.,2025,Clinics in Dermatology,10.1016/j.clindermatol.2025.02.007,0,YES,DOI,200,3745,,2025-06-25T18:14:50.613995
3_Citation_Chain (Batch 1),2-s2.0-85214589203,Advance Care Planning Billing Codes Associated With Decreased Healthcare Utilization in Neurological Disease,Brown G.,2025,Journal of Healthcare Management,10.1097/JHM-D-23-00234,0,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:14:54.264190
3_Citation_Chain (Batch 1),2-s2.0-105000825148,Disparities in End-of-Life Care: A Retrospective Study on Intensive Care Utilization and Advance Care Planning in the Colorado All-Payer Claims Database,Holladay Ford D.,2025,American Journal of Hospice and Palliative Medicine,10.1177/10499091251327191,0,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:14:58.874560
3_Citation_Chain (Batch 1),2-s2.0-85193607288,Advance Care Planning (ACP) in Medicare Beneficiaries with Heart Failure,Bose Brill S.,2024,Journal of General Internal Medicine,10.1007/s11606-024-08604-1,6,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:01.614434
3_Citation_Chain (Batch 1),2-s2.0-85207884598,Delivering High-Quality Cancer Care: Charting a New Course for a System in Crisis: One Decade Later,Nekhlyudov L.,2024,Journal of Clinical Oncology,10.1200/JCO-24-01243,2,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:04.002026
3_Citation_Chain (Batch 1),2-s2.0-85204128076,Paying for advance care planning in medicare: Impacts on care and spending near end of life,Chen A.J.,2024,Journal of Health Economics,10.1016/j.jhealeco.2024.102921,1,YES,DOI,200,4700,,2025-06-25T18:15:05.703113
3_Citation_Chain (Batch 1),2-s2.0-85205605112,A Quality Improvement Initiative for Inpatient Advance Care Planning,Sacks O.A.,2024,JAMA Health Forum,10.1001/jamahealthforum.2024.3172,1,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:07.507741
3_Citation_Chain (Batch 1),2-s2.0-85199136404,Promoting serious illness conversations in primary care through telehealth among persons living with cognitive impairment,Gabbard J.L.,2024,Journal of the American Geriatrics Society,10.1111/jgs.19100,0,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:09.322374
3_Citation_Chain (Batch 1),2-s2.0-85206559495,"Moral grounds, standards, and decision-making models for surrogate life-sustaining treatment decisions by family members: a reflection on Taiwan’s hospice and palliative care policy",Juang Y.C.,2024,Taiwan Journal of Public Health,10.6288/TJPH.202408_43(4).113028,0,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:12.011303
3_Citation_Chain (Batch 1),2-s2.0-85162938913,"Federal Advance Care Planning Policy Primer – Key Aspects, Barriers, and Opportunities",Singh S.,2024,American Journal of Hospice and Palliative Medicine,10.1177/10499091231175641,0,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:13.686308
3_Citation_Chain (Batch 1),2-s2.0-85145100965,US clinicians' perspectives on advance care planning for persons with dementia: A qualitative study,Tjia J.,2023,Journal of the American Geriatrics Society,10.1111/jgs.18197,12,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:15.393013
3_Citation_Chain (Batch 1),2-s2.0-85153349340,Perspectives on deprescribing in palliative care,Tjia J.,2023,Expert Review of Clinical Pharmacology,10.1080/17512433.2023.2197592,12,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:17.065966
3_Citation_Chain (Batch 1),2-s2.0-85176304094,Early Integrated Palliative Care Within a Surgical Oncology Clinic,Bansal V.V.,2023,JAMA Network Open,10.1001/jamanetworkopen.2023.41928,10,NO,NONE,"DOI:404,EID:404",0,Article not found via DOI or EID,2025-06-25T18:15:18.740335
