eid,doi,title,authors,year,journal,citations,abstract,agent,affiliation,search_type,confidence,final_confidence,is_duplicate
2-s2.0-85113352286,10.2196/30453,Digital orientation of health systems in the post-COVID-19 “New Normal” in the United States: Cross-sectional survey,Khuntia J.,2021,Journal of Medical Internet Research,8,,Agent1_DirectMentions,University of Colorado Denver,direct_mention,95,95,True
2-s2.0-85203420319,10.1097/JHM-D-23-00266,Associations between Integration and Patient Experience in Hospital-Based Health Systems: An Exploration of Horizontal and Vertical Forms of Integration,Torres J.S.,2024,Journal of Healthcare Management,1,,Agent1_DirectMentions,Tulane University,direct_mention,95,95,False
2-s2.0-85211931135,10.1177/11786329241304619,Does Physician-Hospital Vertical Integration Affect Hospital Output?,Upadhyay S.,2024,Health Services Insights,0,,Agent1_DirectMentions,"University of Nevada, Las Vegas",direct_mention,95,95,False
2-s2.0-85130609614,10.2196/34808,Valuing Diversity and Inclusion in Health Care to Equip the Workforce: Survey Study and Pathway Analysis,Khuntia J.,2022,Jmir Formative Research,18,,Agent1_DirectMentions,University of Colorado Denver,direct_mention,95,95,True
2-s2.0-85128121072,10.2196/32477,Competition and Integration of US Health Systems in the Post-COVID-19 New Normal: Cross-sectional Survey,Khuntia J.,2022,Jmir Formative Research,3,,Agent1_DirectMentions,University of Colorado Denver,direct_mention,95,95,True
2-s2.0-85133526512,10.2196/35317,Integration vs Collaborative Redesign Strategies of Health Systems’ Supply Chains in the Post-COVID-19 New Normal: Cross-sectional Survey across the United States,Khuntia J.,2022,Jmir Formative Research,6,,Agent1_DirectMentions,University of Colorado Denver,direct_mention,95,95,True
2-s2.0-85175220851,10.1136/bmj-2023-074908,Racial differences in low value care among older adult Medicare patients in US health systems: Retrospective cohort study,Ganguli I.,2023,BMJ,10,,Agent5_Citations,Brigham and Women's Hospital,citation_network,90,90,True
2-s2.0-85130642366,10.1161/CIRCOUTCOMES.121.008269,Influence of Hospital Characteristics on Hospital Transfer Destinations for Patients with Stroke,Zachrison K.S.,2022,Circulation Cardiovascular Quality and Outcomes,10,,Agent5_Citations,Harvard Medical School; Massachusetts General Hospital,citation_network,90,90,True
2-s2.0-85110518200,10.1007/s11701-021-01280-x,Surgeon satisfaction and outcomes of tele-proctoring for robotic gynecologic surgery,Artsen A.M.,2022,Journal of Robotic Surgery,17,,Agent5_Citations,Magee-Womens Research Institute,citation_network,90,90,False
2-s2.0-85133274201,10.1377/hlthaff.2022.00045,Hospital And Regional Characteristics Associated With Emergency Department Facility Fee Cash Pricing,Henderson M.A.,2022,Health Affairs,17,,Agent5_Citations,"University of Maryland, Baltimore County (UMBC)",citation_network,90,90,True
2-s2.0-85110687679,10.1007/s11606-021-07005-y,The Association of Readmission Reduction Activities with Primary Care Practice Readmission Rates,Spivack S.B.,2022,Journal of General Internal Medicine,2,,Agent5_Citations,Yale School of Medicine; Yale-New Haven Hospital,citation_network,90,90,False
2-s2.0-85139571680,10.1097/SLA.0000000000005490,Do we need to augment surgical judgment in emergency surgery?,Kelz R.R.,2022,Annals of Surgery,1,,Agent5_Citations,Penn Medicine,citation_network,90,90,False
2-s2.0-85143180974,10.1093/cid/ciac515,Harnessing the Power of Health Systems and Networks for Antimicrobial Stewardship,Buckel W.R.,2022,Clinical Infectious Diseases,12,,Agent5_Citations,Intermountain Healthcare,citation_network,90,90,False
2-s2.0-85160230430,10.1097/SLA.0000000000005802,Safety and Distribution of Opioid Prescribing by U.S. Surgeons,Waljee J.F.,2023,Annals of Surgery,10,,Agent5_Citations,University of Michigan Medical School,citation_network,90,90,True
2-s2.0-85146192973,10.1089/lgbt.2021.0391,Gender-Affirming Primary Care Access Among Rural Transgender and Gender Diverse Adults in Five Northeastern U.S. States,Almazan A.N.,2023,Lgbt Health,7,,Agent5_Citations,Harvard Medical School,citation_network,90,90,True
2-s2.0-85159783694,10.1093/ntr/ntad008,"Implementation, Maintenance, and Outcomes of an Electronic Referral to a Tobacco Quitline Across Five Health Systems",Tong E.K.,2023,Nicotine and Tobacco Research,3,,Agent5_Citations,UC Davis School of Medicine,citation_network,90,90,True
2-s2.0-85120075083,10.1001/jamanetworkopen.2021.36358,Representation of Women in the Leadership Structure of the US Health Care System,Odei B.C.,2021,JAMA Network Open,12,,Agent5_Citations,The Ohio State University Comprehensive Cancer Center,citation_network,90,90,True
