eid,doi,title,authors,year,journal,citations,scopus_link,search_desc,query,relevance_score,confirmed_compendium,search_idx,search_eid,search_doi,search_title,search_authors,search_year,match_status,match_confidence,match_type,reference_idx,reference_title,reference_doi,match_details
2-s2.0-85133526512,10.2196/35317,Integration vs Collaborative Redesign Strategies of Health Systems’ Supply Chains in the Post-COVID-19 New Normal: Cross-sectional Survey across the United States,Khuntia J.,2022,Jmir Formative Research,6,,Direct: AHRQ Compendium,"TITLE-ABS-KEY(""AHRQ Compendium"")",10.0,False,2,2-s2.0-85133526512,10.2196/35317,Integration vs Collaborative Redesign Strategies of Health Systems’ Supply Chains in the Post-COVID-19 New Normal: Cross-sectional Survey across the United States,Khuntia J.,2022,definite_match,95.0,doi,32.0,Integration vs Collaborative Redesign Strategies of Health Systemsâ€™ Supply Chains in the Post-COVID-19 New Normal: Cross-sectional Survey Across the United States,https://doi.org/10.2196/35317,DOI match: 10.2196/35317
2-s2.0-85137571822,10.1001/jamahealthforum.2021.4543,Factors Associated with Overuse of Health Care Within US Health Systems: A Cross-sectional Analysis of Medicare Beneficiaries from 2016 to 2018,Segal J.B.,2022,JAMA Health Forum,27,,Direct: AHRQ Compendium,"TITLE-ABS-KEY(""AHRQ Compendium"")",10.0,False,3,2-s2.0-85137571822,10.1001/jamahealthforum.2021.4543,Factors Associated with Overuse of Health Care Within US Health Systems: A Cross-sectional Analysis of Medicare Beneficiaries from 2016 to 2018,Segal J.B.,2022,definite_match,95.0,doi,33.0,Factors Associated With Overuse of Health Care Within US Health Systems: A Cross-sectional Analysis of Medicare Beneficiaries From 2016 to 2018,10.1001/jamahealthforum.2021.4543,DOI match: 10.1001/jamahealthforum.2021.4543
2-s2.0-85099565948,10.1007/s11606-020-06485-8,The Missed Opportunity of Primary Care Providers’ Online Biographies: a Content Analysis of US Health Systems in 2020,Perrault E.K.,2021,Journal of General Internal Medicine,2,,Direct: AHRQ Compendium,"TITLE-ABS-KEY(""AHRQ Compendium"")",10.0,False,4,2-s2.0-85099565948,10.1007/s11606-020-06485-8,The Missed Opportunity of Primary Care Providers’ Online Biographies: a Content Analysis of US Health Systems in 2020,Perrault E.K.,2021,definite_match,95.0,doi,52.0,The Missed Opportunity of Primary Care Providersâ€™ Online Biographies: a Content Analysis of US Health Systems in 2020,https://doi.org/10.1007/s11606-020-06485-8,DOI match: 10.1007/s11606-020-06485-8
2-s2.0-85128121072,10.2196/32477,Competition and Integration of US Health Systems in the Post-COVID-19 New Normal: Cross-sectional Survey,Khuntia J.,2022,Jmir Formative Research,3,,Direct: AHRQ Compendium,"TITLE-ABS-KEY(""AHRQ Compendium"")",10.0,False,7,2-s2.0-85128121072,10.2196/32477,Competition and Integration of US Health Systems in the Post-COVID-19 New Normal: Cross-sectional Survey,Khuntia J.,2022,definite_match,95.0,doi,88.0,Competition and Integration of US Health Systems in the Post-COVID-19 New Normal: Cross-sectional Survey,https://doi.org/10.2196/32477,DOI match: 10.2196/32477
2-s2.0-85130609614,10.2196/34808,Valuing Diversity and Inclusion in Health Care to Equip the Workforce: Survey Study and Pathway Analysis,Khuntia J.,2022,Jmir Formative Research,18,,Proximity: Agency near Compendium,"TITLE-ABS-KEY(""Agency for Healthcare Research"" W/15 compendium)",8.0,False,19,2-s2.0-85130609614,10.2196/34808,Valuing Diversity and Inclusion in Health Care to Equip the Workforce: Survey Study and Pathway Analysis,Khuntia J.,2022,definite_match,95.0,doi,89.0,Valuing Diversity and Inclusion in Health Care to Equip the Workforce: Survey Study and Pathway Analysis,https://doi.org/10.2196/34808,DOI match: 10.2196/34808
2-s2.0-85113352286,10.2196/30453,Digital orientation of health systems in the post-COVID-19 “New Normal” in the United States: Cross-sectional survey,Khuntia J.,2021,Journal of Medical Internet Research,8,,Proximity: Agency near Compendium,"TITLE-ABS-KEY(""Agency for Healthcare Research"" W/15 compendium)",8.0,False,22,2-s2.0-85113352286,10.2196/30453,Digital orientation of health systems in the post-COVID-19 “New Normal” in the United States: Cross-sectional survey,Khuntia J.,2021,definite_match,95.0,doi,133.0,Digital Orientation of Health Systems in the Post–COVID-19 “New Normal” in the United States: Cross-sectional Survey,https://doi.org/10.2196/30453,DOI match: 10.2196/30453
2-s2.0-85183905264,10.1111/1475-6773.14284,Hospital outpatient department billing is a poor indicator of primary care practice integration with hospital systems,Chatrath S.,2024,Health Services Research,0,,Institution: Mathematica,"AFFIL(Mathematica) AND TITLE-ABS-KEY(""health system*"")",6.0,False,241,2-s2.0-85183905264,10.1111/1475-6773.14284,Hospital outpatient department billing is a poor indicator of primary care practice integration with hospital systems,Chatrath S.,2024,definite_match,95.0,doi,13.0,Hospital Outpatient Dept Billing Is a Poor Indicator of Primary Care Practice Integration,https://doi.org/10.1111/1475-6773.14284,DOI match: 10.1111/1475-6773.14284
2-s2.0-85177738449,10.1111/1475-6773.14192,Improving health equity through health care systems research,Chisolm D.J.,2023,Health Services Research,16,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),5.0,False,335,2-s2.0-85177738449,10.1111/1475-6773.14192,Improving health equity through health care systems research,Chisolm D.J.,2023,definite_match,95.0,doi,109.0,Improving health equity through health care systems research,https://onlinelibrary.wiley.com/doi/10.1111/1475-6773.14192,DOI match: 10.1111/1475-6773.14192
2-s2.0-85175220851,10.1136/bmj-2023-074908,Racial differences in low value care among older adult Medicare patients in US health systems: Retrospective cohort study,Ganguli I.,2023,BMJ,10,,Author: Ganguli,"AUTHOR-NAME(""Ganguli I*"") AND TITLE-ABS-KEY(""health system*"")",5.0,False,342,2-s2.0-85175220851,10.1136/bmj-2023-074908,Racial differences in low value care among older adult Medicare patients in US health systems: Retrospective cohort study,Ganguli I.,2023,definite_match,95.0,doi,25.0,Racial differences in low value care among older adult Medicare patients in US health systems: retrospective cohort study,https://doi.org/10.1136/bmj-2023-074908,DOI match: 10.1136/bmj-2023-074908
2-s2.0-85099417722,10.1377/hlthaff.2020.00812,"Geographic variation in the consolidation of physicians into health systems, 2016–18",Kimmey L.,2021,Health Affairs,14,,Institution: Mathematica,"AFFIL(Mathematica) AND TITLE-ABS-KEY(""health system*"")",4.0,False,369,2-s2.0-85099417722,10.1377/hlthaff.2020.00812,"Geographic variation in the consolidation of physicians into health systems, 2016–18",Kimmey L.,2021,definite_match,95.0,doi,122.0,"Geographic Variation In The Consolidation Of Physicians Into Health Systems, 2016-18",https://doi.org/10.1377/hlthaff.2020.00812,DOI match: 10.1377/hlthaff.2020.00812
