eid,doi,title,authors,year,journal,citations,scopus_link,search_desc,query,relevance_score,confirmed_compendium,search_idx,search_eid,search_doi,search_title,search_authors,search_year,match_status,match_confidence,match_type,reference_idx,reference_title,reference_doi,match_details
2-s2.0-85206958817,10.1093/jamia/ocae251,AHRQ's digital healthcare research program: 20 years of advancing innovation and discovery,Valdez R.B.,2024,Journal of the American Medical Informatics Association,1,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),8.0,False,8,2-s2.0-85206958817,10.1093/jamia/ocae251,AHRQ's digital healthcare research program: 20 years of advancing innovation and discovery,Valdez R.B.,2024,no_match,0.0,,,,,
2-s2.0-85188883763,10.1370/afm.3090,What AHRQ Learned While Working to Transform Primary Care,Meyers D.,2024,Annals of Family Medicine,0,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),8.0,False,9,2-s2.0-85188883763,10.1370/afm.3090,What AHRQ Learned While Working to Transform Primary Care,Meyers D.,2024,no_match,0.0,,,,,
2-s2.0-85199555252,10.1016/j.jaci.2024.06.001,"Corrigendum: Mind the gaps: Clinical trial concepts to address unanswered questions in aeroallergen immunotherapy—An NIAID/AHRQ Workshop (The Journal of Allergy and Clinical Immunology (2019) 143(5) (1711–1726), (S0091674919301897), (10.1016/j.jaci.2019.01.032))",,2024,Journal of Allergy and Clinical Immunology,0,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),8.0,False,10,2-s2.0-85199555252,10.1016/j.jaci.2024.06.001,"Corrigendum: Mind the gaps: Clinical trial concepts to address unanswered questions in aeroallergen immunotherapy—An NIAID/AHRQ Workshop (The Journal of Allergy and Clinical Immunology (2019) 143(5) (1711–1726), (S0091674919301897), (10.1016/j.jaci.2019.01.032))",,2024,no_match,0.0,,,,,
2-s2.0-105001976416,10.1097/NCM.0000000000000801,Impact of AHRQ Re-Engineered Discharge Toolkit on Adult Patient's 30-Day Readmission,Yumena R.A.,2025,Professional Case Management,0,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),8.0,False,11,2-s2.0-105001976416,10.1097/NCM.0000000000000801,Impact of AHRQ Re-Engineered Discharge Toolkit on Adult Patient's 30-Day Readmission,Yumena R.A.,2025,no_match,0.0,,,,,
2-s2.0-105004899964,10.1177/25160435251339942,Preserving AHRQ Patient Safety Network (PSNet): An essential tool for patient safety practitioners,Wu A.W.,2025,Journal of Patient Safety and Risk Management,0,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),8.0,False,12,2-s2.0-105004899964,10.1177/25160435251339942,Preserving AHRQ Patient Safety Network (PSNet): An essential tool for patient safety practitioners,Wu A.W.,2025,no_match,0.0,,,,,
2-s2.0-85204627194,10.1145/3673971.3674009,Empowering Patient Risk Management Strategies: Validation the AHRQ Elixhauser Mortality Index on Italian Hospital Administrative Dataset,Fidecicchi A.A.,2024,ACM International Conference Proceeding Series,1,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),8.0,False,13,2-s2.0-85204627194,10.1145/3673971.3674009,Empowering Patient Risk Management Strategies: Validation the AHRQ Elixhauser Mortality Index on Italian Hospital Administrative Dataset,Fidecicchi A.A.,2024,no_match,0.0,,,,,
2-s2.0-85212202042,10.1016/j.jcjq.2024.11.004,Moving the Needle on Measurement of Patient Safety: The Evolving Role of the Agency for Healthcare Research and Quality (AHRQ) Patient Safety Indicators,Rosen A.K.,2025,Joint Commission Journal on Quality and Patient Safety,0,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),8.0,False,14,2-s2.0-85212202042,10.1016/j.jcjq.2024.11.004,Moving the Needle on Measurement of Patient Safety: The Evolving Role of the Agency for Healthcare Research and Quality (AHRQ) Patient Safety Indicators,Rosen A.K.,2025,no_match,0.0,,,,,
2-s2.0-105007054447,10.1370/afm.240501,AHRQ’s National Center for Excellence in Primary Care Research (NCEPCR): A New Home for Primary Care Research,Eden A.R.,2025,Annals of Family Medicine,0,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),8.0,False,15,2-s2.0-105007054447,10.1370/afm.240501,AHRQ’s National Center for Excellence in Primary Care Research (NCEPCR): A New Home for Primary Care Research,Eden A.R.,2025,no_match,0.0,,,,,
2-s2.0-85184423570,10.1371/journal.pone.0285285,Assessing the excess costs of the in-hospital adverse events covered by the AHRQ’s Patient Safety Indicators in Switzerland,Giese A.,2024,Plos One,0,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),8.0,False,16,2-s2.0-85184423570,10.1371/journal.pone.0285285,Assessing the excess costs of the in-hospital adverse events covered by the AHRQ’s Patient Safety Indicators in Switzerland,Giese A.,2024,no_match,0.0,,,,,
2-s2.0-85195825282,10.1001/jama.2023.23600,AHRQ's Healthcare Extension Service - State-Based Solutions to Health Care Improvement,Rhodes K.V.,2024,JAMA,0,,Broad: AHRQ mentions,TITLE-ABS-KEY(AHRQ),8.0,False,17,2-s2.0-85195825282,10.1001/jama.2023.23600,AHRQ's Healthcare Extension Service - State-Based Solutions to Health Care Improvement,Rhodes K.V.,2024,no_match,0.0,,,,,
