doi,eid,title,has_open_access,total_citations,mentions_ahrq,ahrq_funded,full_text_available,citing_works_found,sources_found
10.1097/JHM-D-23-00266,2-s2.0-85203420319,Associations between Integration and Patient Experience in Hospital-Based Health Systems: An Exploration of Horizontal and Vertical Forms of Integration,False,1,False,False,False,0,1
10.2196/30453,2-s2.0-85113352286,Digital orientation of health systems in the post-COVID-19 “New Normal” in the United States: Cross-sectional survey,False,8,False,False,False,0,3
10.1177/11786329241304619,2-s2.0-85211931135,Does Physician-Hospital Vertical Integration Affect Hospital Output?,False,0,True,False,False,0,2
10.2196/34808,2-s2.0-85130609614,Valuing Diversity and Inclusion in Health Care to Equip the Workforce: Survey Study and Pathway Analysis,False,21,False,False,False,0,3
10.2196/32477,2-s2.0-85128121072,Competition and Integration of US Health Systems in the Post-COVID-19 New Normal: Cross-sectional Survey,False,3,True,False,False,0,3
10.1161/CIRCOUTCOMES.121.008269,2-s2.0-85130642366,Influence of Hospital Characteristics on Hospital Transfer Destinations for Patients with Stroke,False,13,False,False,False,0,1
10.1136/bmj-2023-074908,2-s2.0-85175220851,Racial differences in low value care among older adult Medicare patients in US health systems: Retrospective cohort study,False,8,False,True,False,0,2
10.2196/35317,2-s2.0-85133526512,Integration vs Collaborative Redesign Strategies of Health Systems’ Supply Chains in the Post-COVID-19 New Normal: Cross-sectional Survey across the United States,False,5,True,False,False,0,3
10.1377/hlthaff.2022.00045,2-s2.0-85133274201,Hospital And Regional Characteristics Associated With Emergency Department Facility Fee Cash Pricing,False,16,False,False,False,0,1
10.1097/SLA.0000000000005490,2-s2.0-85139571680,Do we need to augment surgical judgment in emergency surgery?,False,1,False,False,False,0,1
10.1007/s11606-021-07005-y,2-s2.0-85110687679,The Association of Readmission Reduction Activities with Primary Care Practice Readmission Rates,False,4,False,True,False,0,2
10.1097/SLA.0000000000005802,2-s2.0-85160230430,Safety and Distribution of Opioid Prescribing by U.S. Surgeons,False,11,False,False,False,0,1
10.1089/lgbt.2021.0391,2-s2.0-85146192973,Gender-Affirming Primary Care Access Among Rural Transgender and Gender Diverse Adults in Five Northeastern U.S. States,False,4,False,False,False,0,1
10.1007/s11701-021-01280-x,2-s2.0-85110518200,Surgeon satisfaction and outcomes of tele-proctoring for robotic gynecologic surgery,False,20,False,False,False,0,3
10.1093/cid/ciac515,2-s2.0-85143180974,Harnessing the Power of Health Systems and Networks for Antimicrobial Stewardship,False,12,False,False,False,0,3
10.1001/jamanetworkopen.2021.36358,2-s2.0-85120075083,Representation of Women in the Leadership Structure of the US Health Care System,False,15,False,False,False,0,3
10.1016/j.echo.2023.01.002,2-s2.0-85150390319,Variation in Cost of Echocardiography Within and Across United States Hospitals,False,14,False,False,False,0,1
10.1093/ntr/ntad008,2-s2.0-85159783694,"Implementation, Maintenance, and Outcomes of an Electronic Referral to a Tobacco Quitline Across Five Health Systems",False,4,False,False,False,0,3
10.1002/trc2.12408,2-s2.0-85166415907,"Dementia care navigation: Building toward a common definition, key principles, and outcomes",False,20,False,False,False,0,3
10.1377/hlthaff.2022.01319,2-s2.0-85166783883,Who’s accountable? Low-value care received by medicare beneficiaries outside of their attributed health systems,False,2,False,False,False,0,1
10.1097/MLR.0000000000001673,2-s2.0-85122831730,Survey of Information Exchange and Advanced Use of Other Health Information Technology in Primary Care Settings Capabilities In and Outside of the Safety Net,False,7,False,False,False,0,1
10.1200/OP.20.01089,2-s2.0-85105767840,Fragmentation of Care Among Black Women With Breast Cancer and Comorbidities: The Role of Health Systems,False,19,False,False,False,0,1
10.1007/s11606-020-06485-8,2-s2.0-85099565948,The Missed Opportunity of Primary Care Providers’ Online Biographies: a Content Analysis of US Health Systems in 2020,False,2,True,False,False,0,3
10.1377/hlthaff.2021.00001,2-s2.0-85115926183,Regulating Hospital Prices Based On Market Concentration Is Likely To Leave High-Price Hospitals Unaffected,False,7,False,False,False,0,2
10.1001/jamanetworkopen.2020.37196,2-s2.0-85101483257,Assessment of Spanish Translation of Websites at Top-Ranked US Hospitals,False,5,False,False,False,0,3
10.1097/SLA.0000000000006541,2-s2.0-85205298178,Characteristics of High-Quality Multi-Hospital Health Systems Performing Major Cancer Surgery,False,0,False,False,False,0,1
10.1377/hlthaff.2020.00812,2-s2.0-85099417722,"Geographic variation in the consolidation of physicians into health systems, 2016–18",False,15,False,False,False,0,2
10.1377/hlthaff.2020.00100,2-s2.0-85099409024,Avoiding medicaid: Characteristics of primary care practices with no medicaid revenue,False,14,False,False,False,0,2
10.1097/JHM-D-23-00210,2-s2.0-85198292021,Leadership to Accelerate Healthcare's Digital Transformation: Evidence from 33 Health Systems,False,4,False,False,False,0,1
10.1111/1468-0009.70016,2-s2.0-105004352464,A Policy and Regulatory Framework to Promote Care Delivery Redesign and Production Efficiency in Health Care Markets,False,0,False,True,False,0,2
10.1136/leader-2023-000969,2-s2.0-85204191424,Evolving role of the health system CIO: perspectives from 33 health systems,False,0,False,False,False,0,1
10.1001/jama.2022.24032,2-s2.0-85147047824,Organization and Performance of US Health Systems,False,37,False,False,False,0,2
10.1001/jamahealthforum.2022.4889,2-s2.0-85145562188,Performance of Physician Groups and Hospitals Participating in Bundled Payments among Medicare Beneficiaries,False,2,False,False,False,0,3
10.1001/jama.2022.20619,2-s2.0-85143645337,Association between Individual Primary Care Physician Merit-based Incentive Payment System Score and Measures of Process and Patient Outcomes,False,25,False,False,False,0,1
10.1200/OP.22.00136,2-s2.0-85139738916,Trends in Medically Integrated Dispensing among Oncology Practices,False,5,False,False,False,0,1
10.1186/s13722-024-00477-3,2-s2.0-85195534060,Using 42 CFR part 2 revisions to integrate substance use disorder treatment information into electronic health records at a safety net health system,False,2,False,True,False,0,2
10.1007/s11606-024-09028-7,2-s2.0-85205438678,"Leadership Practices, Organization Structure, and Other Factors Associated with Higher 2022–2023 US News and World Report Ranking",False,0,False,False,False,0,1
10.1111/1475-6773.14172,2-s2.0-85161193713,Hospital-physician integration and clinical volume in traditional Medicare,False,6,False,True,False,0,2
10.5858/arpa.2024-0056-OA,2-s2.0-105004032689,The Anatomic Pathology Hospitalist Model A Novel Approach to Frozen Section Practice in a Tertiary Care Center,False,0,False,False,False,0,1
10.2196/43802,2-s2.0-85156169275,Health-Related Data Sources Accessible to Health Researchers from the US Government: Mapping Review,False,2,False,False,False,0,3
10.1007/s11606-023-08363-5,2-s2.0-85168162268,Association of the Range of Outpatient Services Provided by Primary Care Physicians with Subsequent Health Care Costs and Utilization,False,2,False,False,False,0,1
10.1097/PRS.0000000000012164,2-s2.0-105003919850,Private Equity Investment in Plastic Surgery Clinics: A Scoping Review,False,0,False,False,False,0,1
10.1111/1468-0009.70019,2-s2.0-105006819186,"State Health Care Cost Commissions: Their Priorities and How States’ Political Leanings, Commercial Hospital Prices, and Medicaid Spending Predict Their Establishment",False,0,False,False,False,0,1
10.1001/jamanetworkopen.2025.13274,2-s2.0-105007322937,Outcomes for Very Preterm Infants Across Health Systems,False,0,False,False,False,0,2
10.1200/OP.23.00632,2-s2.0-85187786751,Private Payers and Cancer Care: Revisiting the Land of Opportunity,False,0,False,False,False,0,1
10.1161/JAHA.123.031982,2-s2.0-85185614467,Assessment of Price Variation in Coronary Artery Bypass Surgery at US Hospitals,False,1,False,False,False,0,2
10.17226/26657.3,2-s2.0-85169404002,CARE SYSTEMS COVID-19 IMPACT ASSESSMENT: LESSONS LEARNED AND COMPELLING NEEDS,False,0,False,False,False,0,0
10.21037/jhmhp-21-13,2-s2.0-85109674505,The application of organizational slack to hospital system responsiveness during the COVID-19 pandemic,False,4,False,False,False,0,3
10.1016/j.hjdsi.2020.100460,2-s2.0-85099243840,Estimates of ACO savings in the presence of provider and beneficiary selection,False,9,False,True,False,0,2
10.1111/1475-6773.14101,2-s2.0-85142443861,Differences between integrated and non-integrated plans in Medicare Advantage,False,4,False,False,False,0,1
10.1016/j.lana.2024.100814,2-s2.0-85196261131,"Safety of SGLT2 inhibitors, DPP-4 inhibitors, and GLP-1 receptor agonists in US veterans with and without chronic kidney disease: a population-based study",False,2,False,False,False,0,2
10.1111/1475-6773.14642,2-s2.0-105004848231,Hospital Mergers and Acquisitions From 2010 to 2019: Creating a Valid Public Use Database,False,0,False,False,False,0,1
10.1093/jncics/pkac008,2-s2.0-85135369688,Thematic Analysis of Organizational Characteristics in NCI Community Oncology Research Program Cancer Care Delivery Research,False,2,False,False,False,0,3
10.1097/SLA.0000000000006132,2-s2.0-85187535519,Impact of Hospital Affiliation With a Flagship Hospital System on Surgical Outcomes,False,2,False,False,False,0,1
10.1007/s11606-023-08415-w,2-s2.0-85179320192,Mortality Among Older Medical Patients at Flagship Hospitals and Their Affiliates,False,0,False,False,False,0,1
10.1001/jamanetworkopen.2024.25627,2-s2.0-85201491689,Hospital–Skilled Nursing Facility Integration and Participation in a Bundled Payment Initiative,False,0,False,False,False,0,2
10.1016/j.jtcvs.2024.12.032,2-s2.0-85219543611,Postoperative outcomes following lung resection performed at private equity–acquired hospitals,False,0,False,False,False,0,1
10.1001/jamahealthforum.2025.0046,2-s2.0-86000695473,"Enhanced COVID-19 Provider Relief, Hospital Finances, and Care for Medicare Inpatients",False,0,False,False,False,0,2
10.1007/s10278-024-01374-6,2-s2.0-105007682408,Medical Imaging Data Strategies for Catalyzing AI Medical Device Innovation,False,0,False,False,False,0,1
10.1001/jamasurg.2024.5920,2-s2.0-85217569562,Esophagectomy Trends and Postoperative Outcomes at Private Equity-Acquired Health Centers,False,0,False,False,False,0,1
10.1016/j.jhealeco.2025.102997,2-s2.0-105002323099,Does physician-hospital vertical integration signal care-coordination? Evidence from mover-stayer analysis of commercially insured enrollees,False,0,False,True,False,0,1
10.1371/journal.pone.0323381,2-s2.0-105005965706,Measure what matters: A survey-based examination of health equity tracking and measurement practices across healthcare systems in the United States,False,0,False,False,False,0,3
10.1016/j.ajem.2022.05.035,2-s2.0-85131136695,Trends in treatment costs of U.S. emergency department visits,False,18,False,True,False,0,2
10.1017/ice.2023.283,2-s2.0-85182694332,The next frontier of healthcare-associated infection (HAI) surveillance metrics: Beyond device-associated infections,False,3,False,False,False,0,1
10.2196/46159,2-s2.0-85169019559,Social Determinants of Health Documentation in Structured and Unstructured Clinical Data of Patients With Diabetes: Comparative Analysis,False,9,False,False,False,0,2
10.1111/birt.12753,2-s2.0-85166668318,Effects of the COVID-19 early pandemic on delivery outcomes among women with and without COVID-19 at birth,False,0,False,False,False,0,1
10.1001/jamainternmed.2021.5531,2-s2.0-85115867159,Low-Value Care at the Actionable Level of Individual Health Systems,False,52,False,False,False,0,3
10.1017/ice.2023.138,2-s2.0-85172796584,Executive Summary: A Compendium of Strategies to Prevent Healthcare-Associated Infections in Acute-Care Hospitals: 2022 Updates,True,9,False,False,True,0,2
10.1001/jama.2020.24991,2-s2.0-85099537701,"Neonatal Abstinence Syndrome and Maternal Opioid-Related Diagnoses in the US, 2010-2017",False,411,False,False,False,0,2
10.1002/jhm.2769,2-s2.0-85129996893,Contributors to disparities in postpartum readmission rates between safety-net and non-safety-net hospitals: A decomposition analysis,False,7,False,False,False,0,1
10.1111/1475-6773.13709,2-s2.0-85111711444,Methods for estimating the cost of treat-and-release emergency department visits,False,3,False,True,False,0,1
10.1093/cid/ciad777,2-s2.0-85201437404,Reply to Diekema et al,False,0,False,False,False,0,2
10.1177/15248399241302060,2-s2.0-85213836403,From Free Play to Farm Chores: Using the Youth Compendium to Characterize Physical Activity Behaviors Among Rural Children,False,0,False,False,False,0,1
