row,current_authors,doi,title
2,Becker C.; [+ others],https://vtleg.bluehousegroup.com/committee/document/2026/15/Date/5-13-2025,Prices Paid to Hospitals by Private Health Plans â
8,Whaley C.; [+ others],http://www.rand.org/t/RRA1144-1,Prices Paid to Hospitals by Private Health Plans: 
9,Whaley C.; [+ others],www.rand.org/t/RRA1144-2-v2,Prices Paid to Hospitals by Private Health Plans: 
10,Beaulieu N.; [+ others],https://jamanetwork.com/journals/jama/fullarticle/2800656,Organization and Performance of U.S. Health System
11,Contreary K.; [+ others],https://www.healthaffairs.org/content/forefront/consolidation-and-mergers-among-health-systems-2021-new-data-ahrq-compendium,Consolidation And Mergers Among Health Systems In 
12,Scheffler R.; [+ others],https://www.antitrustinstitute.org/wp-content/uploads/2023/07/AAI-UCB-EG_Private-Equity-I-Physician-Practice-Report_FINAL.pdf,Monetizing Medicine: Private Equity and Competitio
14,Hedquist A.; [+ others],https://jamanetwork.com/journals/jama-health-forum/fullarticle/2825780,Characteristics of Health Systems Operating Medica
15,Chatrath S.; [+ others],https://doi.org/10.1111/1475-6773.14284,Hospital Outpatient Dept Billing Is a Poor Indicat
16,James J.; [+ others],https://rupri.org/wp-content/uploads/Health-System-Affiliation-Landscape.Finalversion.April-2024.pdf,Rural Hospitalsâ€™ Perspectives on Health System A
17,Cuesta J.; [+ others],https://www.nber.org/system/files/working_papers/w32833/w32833.pdf,Vertical Integration and Plan Design in Healthcare
19,Yanlei Ma; [+ others],https://academyhealth.confex.com/academyhealth/2025arm/meetingapp.cgi/Paper/71707,"Benefit Design, Provider Networks & Performance of"
20,Patel R.; [+ others],https://academyhealth.confex.com/academyhealth/2025arm/meetingapp.cgi/Paper/70789,Impact of Health System Affiliation on Continuity 
24,Sanjula Jain; [+ others],https://www.trillianthealth.com/market-research/reports/2024-health-economy-trends,2024 Trends Shaping the Health Economy
26,"Eugene C. Rich, David J. Jones, Rachel M. Machta,; [+ others]",https://www.mathematica.org/blogs/analysis-of-the-ahrq-compendium-of-us-health-systems-shows-system-growth-continues,Analysis of the AHRQ Compendium of U.S. Health Sys
27,"Ishani Ganguli, Matthew B Mackwood, Ching-Wen Wendy Yang,; [+ others]",https://doi.org/10.1136/bmj-2023-074908,Racial differences in low value care among older a
28,Aaron Hedquist; [+ others],https://doi.org/10.1001/jamahealthforum.2024.5523,Structural Discrimination in Nonprofit Hospital Co
30,"Christian Wood, Xinwei Chen, William Schpero,; [+ others]",https://doi.org/10.1093/haschl/qxae056,Acquisitions of safety-net hospitals from 2016â€“2
31,"Hallie Roth, Emilia De Marchis, Karyl Kopaskie,; [+ others]",10.1371/journal.pone.0323381,Measure what matters: A survey-based examination o
32,Alana Knudson; [+ others],https://www.norc.org/content/dam/norc-org/pdf2024/PARHM-ThirdAnnualReport_9_12_23.pdf,The Pennsylvania Rural Health Model (PARHM) Third 
33,"Chimaraije N Amu-Nnadi, Elizabeth S Ross, Natalie H Garcia,; [+ others]",https://pmc.ncbi.nlm.nih.gov/articles/PMC10984769/,Health System Integration and Cancer Center Access
34,"Jiban Khuntia, Frances J Mejia, Xue Ning,; [+ others]",https://doi.org/10.2196/35317,Integration vs Collaborative Redesign Strategies o
35,"Jodi B. Segal, Aditi P. Sen, Eliana Glanzberg-Krainin,; [+ others]",10.1001/jamahealthforum.2021.4543,Factors Associated With Overuse of Health Care Wit
36,K Broman; [+ others],10.1016/j.amjsurg.2023.05.006,Hub and Spoke Framework for Study of Surgical Cent
37,"Ishani Ganguli, Maia L Crawford, Benjamin Usadi,; [+ others]",https://pmc.ncbi.nlm.nih.gov/articles/PMC10860675/,Whoâ€™s Accountable? Low-Value Care Received By Me
42,Daniel Deibler; [+ others],https://doi.org/10.1093/haschl/qxaf061,"Physician mergers involve 38% of doctors, substant"
43,"Hyesung Oh, Vincent Mor, Daeho Kim,; [+ others]",,Hospital Mergers and Acquisitions From 2010 to 201
44,"Jonathan E. Williams, Sara L. Schaefer, Ryan C. Jacobs,; [+ others]",https://doi.org/10.1016/j.jtcvs.2024.12.034,Postoperative outcomes following lung resection pe
45,"Jonathan E. Williams, Sara L. Schaefer, Ryan C. Jacobs,; [+ others]",https://jamanetwork.com/journals/jamasurgery/article-abstract/2828533,Esophagectomy Trends and Postoperative Outcomes at
46,Alexandra Harris; [+ others],10.1177/10775587241247682,"Cost, Quality, and Utilization After Hospital-Phys"
47,Stephanie Teeple; [+ others],https://pmc.ncbi.nlm.nih.gov/articles/PMC11797385/,What explains the growth in hospital assets from 2
51,"Suhui Li, David Jones, Eugene Rich,; [+ others]",https://academic.oup.com/healthaffairsscholar/article/3/1/qxae179/7958335,How do hospitals exert market power? Evidence from
55,Bonnie Jin; [+ others],https://academyhealth.confex.com/academyhealth/2022arm/meetingapp.cgi/Paper/52748,Comparison of System Affiliated Hospitals Identifi
59,Tyler P. Robinson; [+ others],https://doi.org/10.1016/j.amjsurg.2024.116114,NCCN guideline concordance in colon and rectal can
60,Muhammad Musaab Munir; [+ others],https://doi.org/10.6004/jnccn.2024.7096,Association of Hospital Flagship System Affiliatio
61,"Meiling Ying, Addison Shay,; [+ others]",https://doi.org/10.37765/ajmc.2025.89735,Effects of Marylandâ€™s All-Payer Model on Electiv
64,Ellen E. Chapel; [+ others],https://meridian.allenpress.com/aplm/article/149/5/469/503034/The-Anatomic-Pathology-Hospitalist-Model-A-Novel,The Anatomic Pathology Hospitalist Model A Novel A
66,Yu Ting Sim; [+ others],https://onlinelibrary.wiley.com/doi/10.1002/jppr.1964?af=R,The structure and implementation of practice-integ
69,"Buxbaum JD, de Brantes F, Grabowski DC,; [+ others]",https://doi.org/10.1001/jamanetworkopen.2024.25627,Hospitalâ€“Skilled Nursing Facility Integration an
70,"Siddharth Jain, Paul R Rosenbaum, Joseph G Reiter,; [+ others]",https://doi.org/10.1007/s11606-023-08415-w,Mortality Among Older Medical Patients at Flagship
71,"Omar I Ramadan, Paul R Rosenbaum, Joseph G Reiter,; [+ others]",https://pmc.ncbi.nlm.nih.gov/articles/PMC10926994/,Impact of Hospital Affiliation with a Flagship Hos
72,Ian J. Barbash; [+ others],https://doi.org/10.1016/j.ssmhs.2023.100004,The relationship between health system affiliation
74,"Christy Harris Lemak, Dalton Pena, Douglas A Jones,; [+ others]",https://doi.org/10.1097/JHM-D-23-00210,Leadership to Accelerate Healthcare's Digital Tran
75,Ann Annis; [+ others],https://doi.org/10.2196/43802,Health-Related Data Sources Accessible to Health R
76,"Chen Wei, Michael Milligan, Miranda Lam,; [+ others]",https://doi.org/10.1016/j.echo.2023.01.002,Variation in Cost of Echocardiography Within and A
78,"Christopher Garmon, Adam Biener, Benjamin Chartock,; [+ others]",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4392132,The Impact of the No Surprises Act on Physician-In
80,Thejus Jayakrishnan; [+ others],https://doi.org/10.1016/j.joclim.2023.100216,The carbon footprint of health system employee com
81,Zachary Predmore; [+ others],https://www.rand.org/pubs/project_reports/PRA2599-1.html,Exploring Patient Care Navigation in the Medicare 
82,"Amelia M Bond, William L Schpero, Lawrence P Casalino,; [+ others]",https://doi.org/10.1001/jama.2022.20619,Association Between Individual Primary Care Physic
85,Genevieve P Kanter; [+ others],https://doi.org/10.1200/OP.22.00136,Trends in Medically Integrated Dispensing Among On
86,Kori S. Zachrison; [+ others],https://doi.org/10.1161/CIRCOUTCOMES.121.008269,Influence of Hospital Characteristics on Hospital 
87,Elisa K Tong; [+ others],https://doi.org/10.1093/ntr/ntad008,"Implementation, Maintenance, and Outcomes of an El"
89,"Andy Ye Yuan, Bernard Black, Timea Viragh,; [+ others]",https://doi.org/10.1111/jels.12359,Effect of financial incentives on hospital-cardiol
91,"Jiban Khuntia, Xue Ning, Wayne Cascio,; [+ others]",https://doi.org/10.2196/34808,Valuing Diversity and Inclusion in Health Care to 
92,"Amelia M Bond, William L Schpero, Lawrence P Casalino,; [+ others]",https://doi.org/10.1001/jama.2022.20619,Association Between Individual Primary Care Physic
95,Whitney R Buckel; [+ others],https://pmc.ncbi.nlm.nih.gov/articles/PMC9710658/,Harnessing the Power of Health Systems and Network
97,J. Jeffery Reeves; [+ others],https://doi.org/10.1080/07448481.2020.1843468,Bringing student health and Well-Being onto a heal
99,"Joshua M Liao, Qian Huang, Erkuan Wang,; [+ others]",https://doi.org/10.1001/jamahealthforum.2022.4889,Performance of Physician Groups and Hospitals Part
